10,ENSG00000198938,"mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7422"" class=""constant"">HGNC:7422</a>]",MT-CO3,P00414,Protein coding
11,ENSG00000198840,"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7458"" class=""constant"">HGNC:7458</a>]",MT-ND3,P03897,Protein coding
12,ENSG00000212907,"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7460"" class=""constant"">HGNC:7460</a>]",MT-ND4L,P03901,Protein coding
13,ENSG00000198886,"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7459"" class=""constant"">HGNC:7459</a>]",MT-ND4,P03905,Protein coding
14,ENSG00000198786,"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7461"" class=""constant"">HGNC:7461</a>]",MT-ND5,P03915,Protein coding
15,ENSG00000198695,"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7462"" class=""constant"">HGNC:7462</a>]",MT-ND6,P03923,Protein coding
16,ENSG00000198727,"mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7427"" class=""constant"">HGNC:7427</a>]",MT-CYB,P00156,Protein coding
17,ENSG00000210196,"mitochondrially encoded tRNA-Pro (CCN) [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7494"" class=""constant"">HGNC:7494</a>]",MT-TP,,Mt tRNA
18,ENSG00000230724,"long intergenic non-protein coding RNA 1001 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:38540"" class=""constant"">HGNC:38540</a>]",LINC01001,,LncRNA
19,ENSG00000177951,"Bet1 golgi vesicular membrane trafficking protein like [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:19348"" class=""constant"">HGNC:19348</a>]",BET1L,Q9NYM9,Protein coding
20,ENSG00000177947,"outer dense fiber of sperm tails 3 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:19905"" class=""constant"">HGNC:19905</a>]",ODF3,Q96PU9,Protein coding
21,ENSG00000177963,"RIC8 guanine nucleotide exchange factor A [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:29550"" class=""constant"">HGNC:29550</a>]",RIC8A,Q9NPQ8,Protein coding
22,ENSG00000142082,"sirtuin 3 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:14931"" class=""constant"">HGNC:14931</a>]",SIRT3,Q9NTG7,Protein coding
23,ENSG00000185627,"proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9558"" class=""constant"">HGNC:9558</a>]",PSMD13,Q9UNM6,Protein coding
24,ENSG00000142102,"protein-glucosylgalactosylhydroxylysine glucosidase [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:26210"" class=""constant"">HGNC:26210</a>]",PGGHG,Q32M88,Protein coding
25,ENSG00000185201,"interferon induced transmembrane protein 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:5413"" class=""constant"">HGNC:5413</a>]",IFITM2,Q01629,Protein coding
26,ENSG00000185885,"interferon induced transmembrane protein 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:5412"" class=""constant"">HGNC:5412</a>]",IFITM1,P13164,Protein coding
27,ENSG00000142089,"interferon induced transmembrane protein 3 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:5414"" class=""constant"">HGNC:5414</a>]",IFITM3,Q01628,Protein coding
28,ENSG00000182272,,B4GALNT4,Q76KP1,Protein coding
29,ENSG00000184363,"plakophilin 3 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9025"" class=""constant"">HGNC:9025</a>]",PKP3,Q9Y446,Protein coding
30,ENSG00000185187,"single Ig and TIR domain containing [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:30575"" class=""constant"">HGNC:30575</a>]",SIGIRR,Q6IA17,Protein coding
31,ENSG00000185101,"anoctamin 9 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:20679"" class=""constant"">HGNC:20679</a>]",ANO9,A1A5B4,Protein coding
32,ENSG00000174915,"phosphatidylserine synthase 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:15463"" class=""constant"">HGNC:15463</a>]",PTDSS2,Q9BVG9,Protein coding
33,ENSG00000023191,"ribonuclease/angiogenin inhibitor 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:10074"" class=""constant"">HGNC:10074</a>]",RNH1,P13489,Protein coding
34,ENSG00000254739,novel transcript,,,LncRNA
35,ENSG00000174775,"HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:5173"" class=""constant"">HGNC:5173</a>]",HRAS,P01112,Protein coding
36,ENSG00000161328,"leucine rich repeat containing 56 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:25430"" class=""constant"">HGNC:25430</a>]",LRRC56,Q8IYG6,Protein coding
37,ENSG00000185522,"lamin tail domain containing 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:28561"" class=""constant"">HGNC:28561</a>]",LMNTD2,Q8IXW0,Protein coding
38,ENSG00000099849,"Ras association domain family member 7 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:1166"" class=""constant"">HGNC:1166</a>]",RASSF7,Q02833,Protein coding
39,ENSG00000247095,"MIR210 host gene [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:39524"" class=""constant"">HGNC:39524</a>]",MIR210HG,,LncRNA
40,ENSG00000070047,"PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:24351"" class=""constant"">HGNC:24351</a>]",PHRF1,Q9P1Y6,Protein coding
41,ENSG00000185507,"interferon regulatory factor 7 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:6122"" class=""constant"">HGNC:6122</a>]",IRF7,Q92985,Protein coding
42,ENSG00000099834,"cadherin related family member 5 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7521"" class=""constant"">HGNC:7521</a>]",CDHR5,Q9HBB8,Protein coding
43,ENSG00000069696,"dopamine receptor D4 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3025"" class=""constant"">HGNC:3025</a>]",DRD4,P21917,Protein coding
44,ENSG00000177030,"DEAF1 transcription factor [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:14677"" class=""constant"">HGNC:14677</a>]",DEAF1,O75398,Protein coding
45,ENSG00000255158,novel transcript,,,LncRNA
46,ENSG00000177106,"EPS8 like 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:21296"" class=""constant"">HGNC:21296</a>]",EPS8L2,Q9H6S3,Protein coding
47,ENSG00000177042,"transmembrane protein 80 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:27453"" class=""constant"">HGNC:27453</a>]",TMEM80,Q96HE8,Protein coding
48,ENSG00000177156,"transaldolase 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:11559"" class=""constant"">HGNC:11559</a>]",TALDO1,P37837,Protein coding
49,ENSG00000177225,"glutamine amidotransferase class 1 domain containing 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:26616"" class=""constant"">HGNC:26616</a>]",GATD1,Q8NB37,Protein coding
50,ENSG00000255284,"GATD1 divergent transcript [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:29907"" class=""constant"">HGNC:29907</a>]",GATD1-DT,,LncRNA
51,ENSG00000177236,,,,
52,ENSG00000255142,novel transcript,,,LncRNA
53,ENSG00000184524,"cell cycle exit and neuronal differentiation 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:24153"" class=""constant"">HGNC:24153</a>]",CEND1,Q8N111,Protein coding
54,ENSG00000177542,"solute carrier family 25 member 22 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:19954"" class=""constant"">HGNC:19954</a>]",SLC25A22,Q9H936,Protein coding
55,ENSG00000177595,"p53-induced death domain protein 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16491"" class=""constant"">HGNC:16491</a>]",PIDD1,Q9HB75,Protein coding
56,ENSG00000177600,"ribosomal protein lateral stalk subunit P2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:10377"" class=""constant"">HGNC:10377</a>]",RPLP2,P05387,Protein coding
57,ENSG00000177666,"patatin like phospholipase domain containing 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:30802"" class=""constant"">HGNC:30802</a>]",PNPLA2,Q96AD5,Protein coding
58,ENSG00000177685,"calcium release activated channel regulator 2B [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:28703"" class=""constant"">HGNC:28703</a>]",CRACR2B,Q8N4Y2,Protein coding
59,ENSG00000177697,"CD151 molecule (Raph blood group) [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:1630"" class=""constant"">HGNC:1630</a>]",CD151,P48509,Protein coding
60,ENSG00000177700,"RNA polymerase II, I and III subunit L [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9199"" class=""constant"">HGNC:9199</a>]",POLR2L,P62875,Protein coding
61,ENSG00000214063,"tetraspanin 4 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:11859"" class=""constant"">HGNC:11859</a>]",TSPAN4,O14817,Protein coding
62,ENSG00000250397,novel transcript,,,LncRNA
63,ENSG00000177830,"chitinase domain containing 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:28474"" class=""constant"">HGNC:28474</a>]",CHID1,Q9BWS9,Protein coding
64,ENSG00000183020,"adaptor related protein complex 2 subunit alpha 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:562"" class=""constant"">HGNC:562</a>]",AP2A2,O94973,Protein coding
65,ENSG00000184956,"mucin 6, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7517"" class=""constant"">HGNC:7517</a>]",MUC6,Q6W4X9,Protein coding
66,ENSG00000254872,"long intergenic non-protein coding RNA 2688 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:54184"" class=""constant"">HGNC:54184</a>]",LINC02688,,LncRNA
67,ENSG00000215182,"mucin 5AC, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7515"" class=""constant"">HGNC:7515</a>]",MUC5AC,P98088,Protein coding
68,ENSG00000117983,"mucin 5B, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7516"" class=""constant"">HGNC:7516</a>]",MUC5B,Q9HC84,Protein coding
69,ENSG00000078902,"toll interacting protein [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16476"" class=""constant"">HGNC:16476</a>]",TOLLIP,Q9H0E2,Protein coding
70,ENSG00000255153,"TOLLIP divergent transcript [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:27403"" class=""constant"">HGNC:27403</a>]",TOLLIP-DT,,LncRNA
71,ENSG00000174672,"BR serine/threonine kinase 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:11405"" class=""constant"">HGNC:11405</a>]",BRSK2,Q8IWQ3,Protein coding
72,ENSG00000182208,"MOB kinase activator 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:24904"" class=""constant"">HGNC:24904</a>]",MOB2,Q70IA6,Protein coding
73,ENSG00000184545,"dual specificity phosphatase 8 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3074"" class=""constant"">HGNC:3074</a>]",DUSP8,Q13202,Protein coding
74,ENSG00000233930,"KRTAP5-1/KRTAP5-2 antisense RNA 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:27877"" class=""constant"">HGNC:27877</a>]",KRTAP5-AS1,,LncRNA
75,ENSG00000205869,"keratin associated protein 5-1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:23596"" class=""constant"">HGNC:23596</a>]",KRTAP5-1,Q6L8H4,Protein coding
76,ENSG00000244242,"interferon induced transmembrane protein 10 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:40022"" class=""constant"">HGNC:40022</a>]",IFITM10,A6NMD0,Protein coding
77,ENSG00000117984,"cathepsin D [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:2529"" class=""constant"">HGNC:2529</a>]",CTSD,P07339,Protein coding
78,ENSG00000235027,"PRC2 and DDX5 associated lncRNA [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:40168"" class=""constant"">HGNC:40168</a>]",PRADX,,LncRNA
79,ENSG00000229512,novel transcript,,,LncRNA
80,ENSG00000130592,"lymphocyte specific protein 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:6707"" class=""constant"">HGNC:6707</a>]",LSP1,P33241,Protein coding
81,ENSG00000214026,"mitochondrial ribosomal protein L23 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:10322"" class=""constant"">HGNC:10322</a>]",MRPL23,Q16540,Protein coding
82,ENSG00000226416,"MRPL23 antisense RNA 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:42812"" class=""constant"">HGNC:42812</a>]",MRPL23-AS1,,LncRNA
83,ENSG00000130600,"H19 imprinted maternally expressed transcript [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4713"" class=""constant"">HGNC:4713</a>]",H19,,LncRNA
84,ENSG00000167244,"insulin like growth factor 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:5466"" class=""constant"">HGNC:5466</a>]",IGF2,P01344,Protein coding
85,ENSG00000110665,"chromosome 11 open reading frame 21 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:13231"" class=""constant"">HGNC:13231</a>]",C11orf21,Q9P2W6,Protein coding
86,ENSG00000064201,"tetraspanin 32 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:13410"" class=""constant"">HGNC:13410</a>]",TSPAN32,Q96QS1,Protein coding
87,ENSG00000238184,"CD81 antisense RNA 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:49384"" class=""constant"">HGNC:49384</a>]",CD81-AS1,,LncRNA
88,ENSG00000110651,"CD81 molecule [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:1701"" class=""constant"">HGNC:1701</a>]",CD81,P60033,Protein coding
89,ENSG00000184281,"tumor suppressing subtransferable candidate 4 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:12386"" class=""constant"">HGNC:12386</a>]",TSSC4,Q9Y5U2,Protein coding
90,ENSG00000053918,"potassium voltage-gated channel subfamily Q member 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:6294"" class=""constant"">HGNC:6294</a>]",KCNQ1,P51787,Protein coding
91,ENSG00000269821,"KCNQ1 opposite strand/antisense transcript 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:6295"" class=""constant"">HGNC:6295</a>]",KCNQ1OT1,,LncRNA
92,ENSG00000129757,"cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:1786"" class=""constant"">HGNC:1786</a>]",CDKN1C,P49918,Protein coding
93,ENSG00000110628,"solute carrier family 22 member 18 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:10964"" class=""constant"">HGNC:10964</a>]",SLC22A18,Q96BI1,Protein coding
94,ENSG00000205531,"nucleosome assembly protein 1 like 4 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7640"" class=""constant"">HGNC:7640</a>]",NAP1L4,Q99733,Protein coding
95,ENSG00000207008,"small nucleolar RNA, H/ACA box 54 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:32647"" class=""constant"">HGNC:32647</a>]",SNORA54,,SnoRNA
96,ENSG00000183562,"novel transcript, antisense to NAP1L4",,,LncRNA
97,ENSG00000110619,"cysteinyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:1493"" class=""constant"">HGNC:1493</a>]",CARS1,P49589,Protein coding
98,ENSG00000247473,"CARS1 antisense RNA 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:40125"" class=""constant"">HGNC:40125</a>]",CARS1-AS1,,LncRNA
99,ENSG00000021762,"oxysterol binding protein like 5 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16392"" class=""constant"">HGNC:16392</a>]",OSBPL5,Q9H0X9,Protein coding
100,ENSG00000005801,"zinc finger protein 195 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:12986"" class=""constant"">HGNC:12986</a>]",ZNF195,O14628,Protein coding
101,ENSG00000223756,"tumor suppressing subtransferable candidate 2 (pseudogene) [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:12384"" class=""constant"">HGNC:12384</a>]",TSSC2,,Transcribed unprocessed pseudogene
102,ENSG00000255367,novel transcript,,,LncRNA
103,ENSG00000129749,"cholinergic receptor nicotinic alpha 10 subunit [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:13800"" class=""constant"">HGNC:13800</a>]",CHRNA10,Q9GZZ6,Protein coding
104,ENSG00000110713,"nucleoporin 98 and 96 precursor [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:8068"" class=""constant"">HGNC:8068</a>]",NUP98,P52948,Protein coding
105,ENSG00000148985,"post-GPI attachment to proteins 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:17893"" class=""constant"">HGNC:17893</a>]",PGAP2,Q9UHJ9,Protein coding
106,ENSG00000250404,,,,
107,ENSG00000177105,"ras homolog family member G [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:672"" class=""constant"">HGNC:672</a>]",RHOG,P84095,Protein coding
108,ENSG00000228661,"STIM1 antisense RNA 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:40568"" class=""constant"">HGNC:40568</a>]",STIM1-AS1,,LncRNA
109,ENSG00000167323,"stromal interaction molecule 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:11386"" class=""constant"">HGNC:11386</a>]",STIM1,Q13586,Protein coding
110,ENSG00000229368,"novel transcript, sense overlapping STIM1",,,LncRNA
111,ENSG00000230593,"peptidylprolyl isomerase A pseudogene 40 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:53664"" class=""constant"">HGNC:53664</a>]",PPIAP40,,Processed pseudogene
112,ENSG00000255141,"heterogeneous nuclear ribonucleoprotein A1 pseudogene 76 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:48806"" class=""constant"">HGNC:48806</a>]",HNRNPA1P76,,Processed pseudogene
113,ENSG00000167325,"ribonucleotide reductase catalytic subunit M1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:10451"" class=""constant"">HGNC:10451</a>]",RRM1,P23921,Protein coding
114,ENSG00000132109,"tripartite motif containing 21 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:11312"" class=""constant"">HGNC:11312</a>]",TRIM21,P19474,Protein coding
115,ENSG00000167333,"tripartite motif containing 68 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:21161"" class=""constant"">HGNC:21161</a>]",TRIM68,Q6AZZ1,Protein coding
116,ENSG00000244734,"hemoglobin subunit beta [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4827"" class=""constant"">HGNC:4827</a>]",HBB,P68871,Protein coding
117,ENSG00000224295,"olfactomedin family member 5, pseudogene [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:51927"" class=""constant"">HGNC:51927</a>]",OLFM5P,,Unitary pseudogene
118,ENSG00000121236,"tripartite motif containing 6 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16277"" class=""constant"">HGNC:16277</a>]",TRIM6,Q9C030,Protein coding
